feature,importance
ema_medium,0.06371128283758752
ema_spread_long,0.06206412656913036
ema_short,0.061292412114871596
ema_long,0.058172532242347204
volume_avg,0.05787678476522747
momentum_10,0.05524948085967594
bb_upper,0.05219343730619232
bb_lower,0.048631827196246924
atr,0.046044526359553965
bb_middle,0.04553524640048466
returns,0.04346395409157819
macd_hist,0.04163049076943293
momentum_20,0.041606127812891615
adx,0.039783779848912224
macd,0.03859395252968004
momentum_5,0.03821907398732681
volatility_10,0.03683175179405022
macd_signal,0.03542266369665316
rsi,0.033924131081156085
ema_spread_short,0.03201597131175894
volatility_20,0.030551520297760686
volume_ratio,0.019448072208344835
volume_change,0.01100608695991088
high_low_ratio,0.006730766959225501
