feature,importance
volume_avg,0.08696469071421277
ema_spread_long,0.08616554594705624
atr,0.07787289249669127
ema_long,0.07233137485136897
bb_upper,0.06400501275937183
bb_lower,0.05894296150590887
ema_medium,0.05366406134017598
ema_short,0.052894037894567356
bb_middle,0.04796710044929425
macd_signal,0.04750592500194118
adx,0.04424579789553438
volatility_20,0.04033886887811609
macd,0.03980436888090746
ema_spread_short,0.03269714995352338
momentum_20,0.029590906015812
volatility_10,0.02857208228405443
macd_hist,0.02764041555134075
momentum_10,0.026699426702659564
returns,0.022587143740091135
rsi,0.02059458224588605
momentum_5,0.01855000499329943
volume_ratio,0.010632410614705523
volume_change,0.006586211365380743
high_low_ratio,0.003147027918100337
